ctx_len,requested_depth,actual_depth,seed,needle_kind,answer,prediction_raw,prediction_extracted,correct,truncated,prompt_tokens,tokens_evaluated,tokens_cached,predicted_tokens,latency_ms,prompt_ms,predicted_ms,prompt_tps,predicted_tps,stop_type,filler_chunks
2048,0.1,0.11513647642679901,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,2015,2015,2030,16,741.2328720092773,618.358,119.004,3258.630113946937,134.4492622096736,limit,99
2048,0.1,0.11249377799900448,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,2009,2009,2024,16,830.3823471069336,702.334,123.65,2860.4624010798284,129.3974929235746,limit,99
2048,0.1,0.11171797418073486,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,False,2014,2014,2029,16,992.2683238983154,857.433,130.421,2348.87157363899,122.67962981421704,limit,99
2048,0.1,0.11464019851116625,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,2015,2015,2030,16,1149.5203971862793,1011.411,133.903,1992.2662498232667,119.48948119160886,limit,99
2048,0.1,0.11502231036192365,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,2017,2017,2032,16,1389.8277282714844,1090.054,133.45,1850.3670460362514,119.89509179467967,limit,99
2048,0.3,0.31116625310173696,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,2015,2015,2030,16,1384.4034671783447,1082.505,133.543,1861.4232728717188,119.81159626487349,limit,99
2048,0.3,0.3091090094574415,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,2009,2009,2024,16,1382.0843696594238,1080.278,133.23,1859.7064829608676,120.09307213090146,limit,99
2048,0.3,0.30784508440913605,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,False,2014,2014,2029,16,1381.5348148345947,1085.762,133.833,1854.9184812141152,119.5519789588517,limit,99
2048,0.3,0.31066997518610423,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,2015,2015,2030,16,1312.7007484436035,1015.795,133.44,1983.6679645007114,119.90407673860912,limit,99
2048,0.3,0.3108577094695092,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,2017,2017,2032,16,1403.348445892334,1103.186,134.204,1828.3408237595474,119.22148371136478,limit,99
2048,0.5,0.5071960297766749,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,2015,2015,2030,16,1389.559030532837,1091.274,133.771,1846.4656905598413,119.60738874643982,limit,99
2048,0.5,0.5057242409158785,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,2009,2009,2024,16,1381.5374374389648,1089.362,133.67,1844.198714476914,119.69776314805118,limit,99
2048,0.5,0.5039721946375373,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,False,2014,2014,2029,16,1390.946626663208,1092.993,133.576,1842.6467507111208,119.78199676588609,limit,99
2048,0.5,0.5066997518610422,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,2015,2015,2030,16,1317.2602653503418,1022.161,133.867,1971.3137167236866,119.5216147370151,limit,99
2048,0.5,0.5066931085770947,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,2017,2017,2032,16,1259.8216533660889,1122.518,134.326,1796.8531462301717,119.11320220954991,limit,99
2048,0.7,0.6937965260545905,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

A",lucas,True,False,2015,2015,2030,16,1249.173879623413,1110.823,133.832,1813.970362515,119.552872257756,limit,99
2048,0.7,0.6933797909407665,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

Several",jules,True,False,2009,2009,2024,16,1241.8632507324219,1104.785,134.218,1818.4533642292392,119.20904796674068,limit,99
2048,0.7,0.6911618669314796,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

This",jules,True,False,2014,2014,2029,16,1231.5568923950195,1093.741,133.684,1841.3865805524345,119.68522785075253,limit,99
2048,0.7,0.6908188585607941,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

The",nora,True,False,2015,2015,2030,16,1178.0242919921875,1039.567,134.252,1938.307006667199,119.17885767064922,limit,99
2048,0.7,0.6931085770946951,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,2017,2017,2032,16,1252.1698474884033,1114.809,134.201,1809.2785400907242,119.22414885134985,limit,99
2048,0.9,0.8898263027295286,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,2015,2015,2030,16,1241.6162490844727,1103.947,134.054,1825.2687855485817,119.35488683664792,limit,99
2048,0.9,0.8899950223992036,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

Several",jules,True,False,2009,2009,2024,16,1240.0250434875488,1102.294,134.184,1822.5627645619045,119.23925356227271,limit,99
2048,0.9,0.8872889771598809,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

This",jules,True,False,2014,2014,2029,16,1239.715576171875,1102.346,134.451,1827.0125713705136,119.0024618634298,limit,99
2048,0.9,0.886848635235732,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,2015,2015,2030,16,1179.0735721588135,1041.781,134.447,1934.1877035576574,119.0060023652443,limit,99
2048,0.9,0.8889439762022806,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,2017,2017,2032,16,1252.4662017822266,1114.384,134.809,1809.968556619621,118.68643784910503,limit,99
4096,0.1,0.10469402801671172,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

The",lucas,True,False,4069,4069,4084,16,2527.076244354248,2219.582,138.956,1833.2280582560143,115.14436224416363,limit,203
4096,0.1,0.10484863401427516,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

A",jules,True,False,4063,4063,4078,16,2580.3158283233643,2195.023,135.628,1851.0056614440941,117.96974076149469,limit,203
4096,0.1,0.10471976401179942,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

Several",jules,True,False,4068,4068,4083,16,2376.30295753479,2228.418,141.522,1825.5102947472153,113.05662723816792,limit,203
4096,0.1,0.10469402801671172,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

This",nora,True,False,4069,4069,4084,16,2363.6651039123535,2219.111,138.917,1833.6171556988363,115.17668823830057,limit,203
4096,0.1,0.10464259395725865,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,4071,4071,4086,16,2712.2974395751953,2205.846,137.346,1845.5504146708338,116.49410976657492,limit,203
4096,0.3,0.30474318014254115,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,4069,4069,4084,16,2759.638547897339,2199.261,135.223,1850.16694244112,118.32306634226426,limit,203
4096,0.3,0.30396258921978836,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

The",jules,True,False,4063,4063,4078,16,2350.2068519592285,2205.514,137.166,1842.200956330361,116.64698248837176,limit,203
4096,0.3,0.3033431661750246,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

This",jules,True,False,4068,4068,4083,16,2367.263078689575,2222.133,140.064,1830.673501541087,114.23349326022391,limit,203
4096,0.3,0.3032686163676579,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

The",nora,True,False,4069,4069,4084,16,2358.9296340942383,2210.677,138.38,1840.6126268107007,115.62364503540975,limit,203
4096,0.3,0.304593465978875,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,4071,4071,4086,16,2707.033634185791,2204.15,138.134,1846.9704874895085,115.82955680715828,limit,203
4096,0.5,0.5035635291226346,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,4069,4069,4084,16,2709.7301483154297,2204.365,135.25,1845.8830547572659,118.29944547134936,limit,203
4096,0.5,0.5028304208712774,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,4063,4063,4078,16,2336.338996887207,2195.363,134.537,1850.718992713278,118.92639199625381,limit,203
4096,0.5,0.5019665683382497,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,False,4068,4068,4083,16,2351.2606620788574,2210.41,134.042,1840.3825534629323,119.36557198490026,limit,203
4096,0.5,0.5033177684934873,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

A",nora,True,False,4069,4069,4084,16,2357.297897338867,2214.22,135.585,1837.6674404530718,118.00715418372238,limit,203
4096,0.5,0.5033161385408991,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,4071,4071,4086,16,2360.795021057129,2222.028,134.267,1832.1101264250497,119.16554328315968,limit,203
4096,0.7,0.697714426148931,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,4069,4069,4084,16,2366.5499687194824,2224.066,134.248,1829.5320372686783,119.18240867647935,limit,203
4096,0.7,0.6972680285503323,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,4063,4063,4078,16,2355.4413318634033,2209.855,137.816,1838.5821694183555,116.09682475184303,limit,203
4096,0.7,0.696165191740413,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,False,4068,4068,4083,16,2366.3389682769775,2224.947,133.915,1828.3581586437788,119.47877384908338,limit,203
4096,0.7,0.6974686655197837,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

A",nora,True,False,4069,4069,4084,16,2354.27188873291,2213.351,133.795,1838.3889405702032,119.58593370454801,limit,203
4096,0.7,0.6973716531564726,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,4071,4071,4086,16,2362.781763076782,2221.935,134.482,1832.1868101452114,118.9750301155545,limit,203
4096,0.9,0.8962890144998771,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,4069,4069,4084,16,2368.682622909546,2226.68,135.864,1827.3842671600771,117.76482364717658,limit,203
4096,0.9,0.8961358602018213,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

The",jules,True,False,4063,4063,4078,16,2349.6813774108887,2207.909,133.796,1840.2026532796415,119.58503991150708,limit,203
4096,0.9,0.8962635201573255,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

A",jules,True,False,4068,4068,4083,16,2357.4018478393555,2217.841,133.754,1834.2162490458063,119.62259072625866,limit,203
4096,0.9,0.8962890144998771,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,4069,4069,4084,16,2368.8554763793945,2227.296,133.895,1826.8788701636427,119.49662048620186,limit,203
4096,0.9,0.8958486858265783,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,4071,4071,4086,16,2375.105619430542,2232.431,135.895,1823.572598660384,117.7379594539902,limit,203
8192,0.1,0.10356661355558279,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

Several",lucas,True,False,8159,8159,8174,16,4923.934459686279,4435.254,138.664,1839.5789733801041,115.38683436219928,limit,410
8192,0.1,0.10280259454167176,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

Several",jules,True,False,8171,8171,8186,16,3367.1703338623047,3216.185,134.347,2540.587683855251,119.0945834294774,limit,411
8192,0.1,0.1026174168297456,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

This",jules,True,True,8176,8176,8191,16,3367.830753326416,3220.27,134.481,2538.917544181078,118.975914813245,limit,411
8192,0.1,0.10284383427310616,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

The",nora,True,False,8158,8158,8173,16,3364.0923500061035,3212.422,137.599,2539.516912784186,116.2799148249624,limit,410
8192,0.1,0.10354123269207205,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,8161,8161,8176,16,3383.1872940063477,3231.487,138.554,2525.462735885987,115.47844161843035,limit,410
8192,0.3,0.3017526657678637,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,8159,8159,8174,16,4115.321636199951,3202.949,134.674,2547.3399670116505,118.80541158649775,limit,410
8192,0.3,0.3005752049932689,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

The",jules,True,False,8171,8171,8186,16,3361.06014251709,3215.228,135.045,2541.343879811945,118.47902551001519,limit,411
8192,0.3,0.30100293542074363,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

A",jules,True,True,8176,8176,8191,16,3365.9310340881348,3218.211,134.6,2540.5419346338695,118.87072808320951,limit,411
8192,0.3,0.30178965432704097,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,8158,8158,8173,16,3358.3199977874756,3212.363,134.535,2539.563554928257,118.92815995837515,limit,410
8192,0.3,0.30167871584364664,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,8161,8161,8176,16,3370.0003623962402,3221.277,136.46,2533.4673174644713,117.25047633006008,limit,410
8192,0.5,0.5005515381786984,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

Several",lucas,True,False,8159,8159,8174,16,4193.22657585144,3197.694,135.042,2551.5261935632366,118.48165755838924,limit,410
8192,0.5,0.5014074164728919,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,8171,8171,8186,16,3367.5737380981445,3222.179,134.231,2535.8616017297613,119.19750281231609,limit,411
8192,0.5,0.5009784735812133,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,True,8176,8176,8191,16,3379.3256282806396,3232.381,134.863,2529.404794793683,118.6389150471219,limit,411
8192,0.5,0.49987742093650406,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

The",nora,True,False,8158,8158,8173,16,3380.8908462524414,3235.273,134.405,2521.5800954046226,119.04319035750159,limit,410
8192,0.5,0.5004288690111506,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,8161,8161,8176,16,3389.657735824585,3241.994,135.044,2517.277946843825,118.47990284647966,limit,410
8192,0.7,0.6987375903909793,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

This",lucas,True,False,8159,8159,8174,16,3990.3645515441895,3220.892,134.544,2533.149202146486,118.9202045427518,limit,410
8192,0.7,0.6999143311712153,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

A",jules,True,False,8171,8171,8186,16,3393.1612968444824,3245.429,134.608,2517.694887178244,118.86366337810531,limit,411
8192,0.7,0.699486301369863,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

Several",jules,True,True,8176,8176,8191,16,3403.818130493164,3256.551,136.437,2510.6316467944157,117.2702419431679,limit,411
8192,0.7,0.6988232409904388,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

Several",nora,True,False,8158,8158,8173,16,3391.435384750366,3242.314,135.707,2516.1042391329156,117.90106626776806,limit,410
8192,0.7,0.6985663521627251,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,8161,8161,8176,16,3410.917043685913,3267.697,134.79,2497.477581305733,118.7031678907931,limit,410
8192,0.9,0.897536462801814,0,kv,lucas," lucas. Remember it. lucas is the owner of Project Delta.

Several",lucas,True,False,8159,8159,8174,16,3405.5099487304688,3255.547,137.049,2506.1840606202272,116.74656509715503,limit,410
8192,0.9,0.8978093256639335,1,kv,jules," jules. Remember it. jules is the owner of Project Beacon.

This",jules,True,False,8171,8171,8186,16,3415.332317352295,3264.739,136.022,2502.8034400299684,117.62803075973005,limit,411
8192,0.9,0.8971379647749511,2,kv,jules," jules. Remember it. jules is the owner of Project Atlas.

The",jules,True,True,8176,8176,8191,16,3416.2323474884033,3265.588,135.57,2503.683869489966,118.0202109611271,limit,411
8192,0.9,0.8969110075999019,3,kv,nora," nora. Remember it. nora is the owner of Project Beacon.

The",nora,True,False,8158,8158,8173,16,3403.876304626465,3254.507,135.071,2506.6776626997575,118.45621932169007,limit,410
8192,0.9,0.8973165053302291,4,kv,tariq, tariq. Remember it. tariq is the owner of Project Beacon,tariq,True,False,8161,8161,8176,16,3420.086145401001,3272.647,134.604,2493.700053809653,118.86719562568719,limit,410
